mes_ano	estelionato
2008m10	1878
2007m01	1860
2008m09	1858
2007m11	1857
2008m02	1851
2007m09	1836
2010m04	1813
2009m10	1812
2007m12	1766
2009m01	1752
2009m11	1752
2008m11	1750
2006m10	1735
2008m12	1731
2017m01	1727
2010m01	1716
2009m12	1697
2006m11	1690
2007m04	1659
2007m02	1658
2009m02	1644
2010m02	1628
2009m04	1609
2006m08	1607
2006m07	1586
2006m12	1584
2006m09	1553
2006m05	1540
2005m12	1497
2005m08	1485
2006m01	1480
2006m03	1463
2005m11	1458
2006m06	1443
2005m07	1413
2005m05	1382
2005m06	1375
2005m09	1365
2006m02	1337
2005m03	1277
2006m04	1276
2005m10	1240
2004m12	1225
2005m01	1196
2005m04	1182
2004m11	1141
2004m06	1102
2004m07	1097
2004m10	1089
2004m08	1070
2004m03	1047
2004m05	1031
2005m02	1016
2003m10	1014
2004m04	998
2004m09	980
2003m07	977
2003m09	966
2004m01	963
2003m11	954
2003m08	900
2003m01	885
2003m05	874
2003m06	859
2003m12	844
2004m02	841
2003m03	821
2003m04	819
2003m02	802
2017m02	717
